Date,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Cryptoname,FAGI,RSI
2021-08-09,3014.06,3190.80,2890.03,3163.43,4997024.855,2021-08-10,15308758012.82675,5388512,2445088.598,7489626733.73267,ETHUSDT,65,74.71626749400313
2021-08-10,3163.43,3239.13,3053.24,3143.98,4011325.684,2021-08-11,12596399140.64382,4665614,1951804.232,6131395969.89487,ETHUSDT,71,73.61843016909825
2021-08-11,3143.97,3279.78,3120.69,3161.52,3248054.689,2021-08-12,10431960240.70598,3926003,1589382.157,5105435871.99724,ETHUSDT,70,73.98959313481433
2021-08-12,3161.52,3241.57,2981.00,3046.74,3651234.966,2021-08-13,11298867650.12576,4537077,1778897.771,5504204748.24524,ETHUSDT,70,67.31538633648566
2021-08-13,3046.63,3332.88,3034.35,3324.12,3291401.802,2021-08-14,10556999488.07876,4036689,1633205.956,5239976336.17076,ETHUSDT,70,73.52956464613699
2021-08-14,3324.12,3337.99,3210.00,3266.31,2307338.730,2021-08-15,7541715652.47723,3389219,1117343.043,3652641771.41959,ETHUSDT,76,70.52025592671261
2021-08-15,3266.31,3326.00,3109.00,3312.31,2863557.025,2021-08-16,9176432710.68574,3847902,1396184.337,4474915517.23871,ETHUSDT,71,71.51910068096853
2021-08-16,3312.31,3343.00,3133.33,3146.83,2823441.625,2021-08-17,9165693580.68069,3751738,1354046.861,4397785664.62054,ETHUSDT,72,63.220504947933776
2021-08-17,3146.82,3294.23,2992.00,3014.64,3583054.432,2021-08-18,11313021664.72633,4538498,1733069.748,5475465884.46066,ETHUSDT,72,57.48255926090559
2021-08-18,3014.63,3125.92,2950.00,3014.25,2914764.091,2021-08-19,8870183227.13909,3845910,1433848.085,4365350711.56013,ETHUSDT,73,57.46598782897809
2021-08-19,3014.31,3194.00,2958.80,3186.8,2795287.664,2021-08-20,8517882649.26069,3542925,1380587.916,4208570825.43654,ETHUSDT,70,62.602845575541906
2021-08-20,3186.76,3308.26,3180.00,3286.62,2223015.324,2021-08-21,7213472444.69804,2934913,1096221.959,3557480824.04768,ETHUSDT,70,65.21971251673108
2021-08-21,3286.65,3313.90,3207.12,3226.4,1838074.781,2021-08-22,6008937521.27070,2562290,886315.616,2898144056.56905,ETHUSDT,78,62.38361293786076
2021-08-22,3226.39,3276.42,3124.35,3241.29,1773220.917,2021-08-23,5694971586.81129,2389513,863662.087,2774252423.26355,ETHUSDT,76,62.81419743006929
2021-08-23,3241.29,3383.00,3233.07,3323.01,2430852.991,2021-08-24,8087347064.89252,3053074,1204511.771,4007359176.03458,ETHUSDT,79,65.17058044792844
2021-08-24,3323.00,3362.00,3145.00,3173.98,2520587.128,2021-08-25,8206532013.99988,2999337,1212368.874,3948364879.91148,ETHUSDT,79,57.957682859117135
2021-08-25,3173.99,3249.00,3078.52,3227.9,2405504.816,2021-08-26,7633000732.16727,2892075,1162981.249,3691290931.49159,ETHUSDT,73,59.69576280378771
2021-08-26,3227.90,3254.00,3052.00,3093.77,2360877.641,2021-08-27,7377079755.83256,2888145,1139036.505,3558925995.59697,ETHUSDT,75,53.74365205124132
2021-08-27,3093.81,3283.00,3061.44,3273.91,2227370.879,2021-08-28,7072538774.15535,2685562,1134895.249,3604989748.77804,ETHUSDT,71,59.57356253152133
2021-08-28,3274.12,3288.22,3209.93,3247.29,1124796.339,2021-08-29,3648997299.15339,1694830,540133.897,1752546116.87541,ETHUSDT,78,58.40217091383851
2021-08-29,3247.47,3291.70,3150.50,3225.47,1642534.292,2021-08-30,5275349676.12545,2127874,802585.182,2578125654.63301,ETHUSDT,72,57.40576696009997
2021-08-30,3225.47,3350.00,3142.38,3230.43,2535431.803,2021-08-31,8211167690.59126,2851387,1238532.970,4012292730.59524,ETHUSDT,73,57.58292415318287
2021-08-31,3230.42,3478.00,3187.85,3430.49,3605871.087,2021-09-01,12096403303.17363,3916048,1789559.480,6004548047.81512,ETHUSDT,73,64.07353721275098
2021-09-01,3430.49,3849.00,3381.23,3831.44,3339812.397,2021-09-02,12019155034.32282,3999484,1702593.052,6128888549.61190,ETHUSDT,71,72.9929579556289
2021-09-02,3831.42,3843.21,3723.87,3788.95,1997427.180,2021-09-03,7549206070.15826,2756226,957866.166,3620717285.93248,ETHUSDT,74,70.98178102124257
2021-09-03,3788.94,4036.44,3710.77,3942.79,2643680.210,2021-09-04,10327395607.95398,3359042,1303867.714,5094363924.07464,ETHUSDT,74,73.79685586342372
2021-09-04,3942.83,3976.59,3835.00,3889.71,1508907.058,2021-09-05,5898345690.61458,2318029,723287.619,2827658999.29951,ETHUSDT,72,71.22927550200139
2021-09-05,3889.95,3991.25,3837.00,3952.56,1483337.994,2021-09-06,5811218020.16181,2241970,717022.866,2809796333.62739,ETHUSDT,73,72.45147900788683
2021-09-06,3952.56,3976.60,3864.27,3929.0,1471495.586,2021-09-07,5785284739.10346,2207758,698601.095,2747262325.13417,ETHUSDT,79,71.22993266431487
2021-09-07,3929.01,3952.53,2923.00,3435.0,4947996.791,2021-09-08,17735945429.50642,5556239,2331665.119,8356337209.12102,ETHUSDT,79,51.589195163201765
2021-09-08,3435.00,3562.25,3217.01,3497.99,2986177.270,2021-09-09,10180478366.96899,4117346,1491494.061,5085589858.89772,ETHUSDT,47,53.35534084670192
2021-09-09,3497.68,3570.34,3390.00,3426.42,1980923.900,2021-09-10,6915562238.84697,2960337,977157.629,3411996231.44292,ETHUSDT,45,51.0753170249862
2021-09-10,3426.43,3517.91,3143.20,3209.84,2299854.907,2021-09-11,7664857100.21164,3428953,1117159.911,3724283398.70848,ETHUSDT,46,44.83192142628502
2021-09-11,3209.85,3349.17,3199.26,3267.23,1413713.591,2021-09-12,4634941547.10116,2420923,702917.308,2304628726.44563,ETHUSDT,31,46.69147629462576
2021-09-12,3267.28,3474.95,3230.84,3405.21,1518234.911,2021-09-13,5125794285.18948,2511815,751951.383,2538921980.58856,ETHUSDT,32,50.97048649815595
2021-09-13,3405.65,3432.12,3107.02,3284.41,2654865.254,2021-09-14,8628300678.82541,3549751,1293523.659,4205431226.27695,ETHUSDT,44,47.38442480539631
2021-09-14,3284.17,3438.00,3269.25,3435.42,1536142.673,2021-09-15,5132621489.63076,2284886,777702.174,2599186929.44336,ETHUSDT,30,51.936771930788595
2021-09-15,3435.29,3620.00,3358.08,3614.72,1652816.482,2021-09-16,5729547036.04413,2219716,830016.918,2878481053.30314,ETHUSDT,49,56.7244298444592
2021-09-16,3614.71,3678.00,3482.00,3570.46,1879717.934,2021-09-17,6749807268.03060,2648168,919810.490,3304246502.65221,ETHUSDT,53,55.261089250875905
2021-09-17,3570.46,3597.52,3350.00,3400.99,1665745.301,2021-09-18,5777910858.46376,2467615,797401.899,2766272738.37017,ETHUSDT,48,49.947863151574516
2021-09-18,3401.00,3546.00,3370.25,3435.35,1392166.948,2021-09-19,4822132415.09092,2152638,675781.839,2341362498.98377,ETHUSDT,50,50.97702465244099
2021-09-19,3435.36,3459.00,3275.00,3328.72,1409270.892,2021-09-20,4746244212.53249,2148573,676212.203,2278450607.10892,ETHUSDT,53,47.69921960634608
2021-09-20,3328.99,3347.99,2907.07,2978.34,3894855.847,2021-09-21,12039370935.18889,4649623,1862281.332,5755737819.58913,ETHUSDT,50,38.85764369545793
2021-09-21,2978.34,3108.17,2647.80,2765.48,4287819.594,2021-09-22,12492102976.07246,5223380,2096595.249,6113258055.63862,ETHUSDT,27,34.654989896296506
2021-09-22,2765.47,3088.88,2736.57,3076.62,2674294.104,2021-09-23,7869352817.07343,3650837,1367543.198,4024496448.82784,ETHUSDT,21,44.16161702069024
2021-09-23,3076.62,3173.99,3032.77,3150.7,1943658.778,2021-09-24,6041895582.92996,2712607,969939.282,3015229967.61927,ETHUSDT,27,46.16965090297387
2021-09-24,3150.70,3157.50,2731.00,2926.37,3728806.998,2021-09-25,10865785866.61314,4408594,1852360.401,5398116288.49348,ETHUSDT,33,41.32340577591416
2021-09-25,2926.36,2967.32,2800.00,2921.08,2234473.056,2021-09-26,6479851719.41051,2957595,1119434.198,3247356399.83510,ETHUSDT,28,41.213545228129966
2021-09-26,2921.08,3116.84,2737.19,3057.63,2764303.968,2021-09-27,8086407799.82040,3532565,1398063.506,4093047060.76551,ETHUSDT,27,45.25910187520595
2021-09-27,3057.62,3163.90,2920.22,2923.6,2027218.619,2021-09-28,6207785919.11740,2832962,994806.350,3047676761.78729,ETHUSDT,26,42.1900379845374
